"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"lp__",17.28402471125,0.0328712216460955,1.76126678571413,13.024305,16.3395,17.60775,18.575225,19.711315,2870.90354004002,1.00046620208586
"CL",5.724328415,0.0125934332856093,0.757648232632228,4.2908415,5.202065,5.707215,6.235105,7.236477,3619.48630182907,1.00016812532214
"Q",7.0015357675,0.0507535452845318,2.983732770283,2.858829,4.84709,6.451215,8.5639775,14.2480925,3456.1062034855,1.00087313908735
"V1",25.9586613375,0.0773239444329093,4.11137723366649,18.12418,23.149575,25.83165,28.711025,34.307195,2827.13569037542,1.00116626776734
"V2",57.53625948375,0.590808866240909,33.3359941203371,20.92396,35.442625,48.5781,69.12105,147.8788,3183.7049557118,1.00036024301288
"ka",1.85558836475,0.00716113922299482,0.420122001424634,1.18491875,1.56018,1.806775,2.08704,2.80555275,3441.80782212321,1.0004521455546
"sigma",0.1350169418625,0.000513864844404456,0.0306944997217217,0.09106722,0.11413475,0.1297915,0.14944725,0.209441525,3567.98734265898,1.00053911216491
