"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"lp__",13.7385017985,0.0381303986980475,1.89056772681958,9.05138575,12.7213,14.0875,15.13005,16.3574325,2458.33909144877,1.00289522205312
"CL",5.57861342875,0.00905604456666549,0.524119993913878,4.483571,5.249045,5.594355,5.92487,6.58271775,3349.5337059918,1.00084502922016
"Q",8.154278215,0.0275498830547271,1.55255865330712,5.69214925,7.113765,7.967275,8.9562225,11.7267825,3175.82463289312,1.00177929258987
"V1",24.2199282375,0.0630776276221257,3.68488236977672,17.5794725,21.69815,24.00855,26.5504,32.09204,3412.68776535662,1.00071569743192
"V2",57.0704903875,0.220833376973483,13.2236685470296,36.3767975,47.73605,55.413,64.311825,87.8335275,3585.70438804311,0.999966381805151
"ka",1.6317685055,0.00660631733094178,0.40536265750234,1.04659525,1.355145,1.56331,1.827965,2.5971035,3765.03150825022,1.00121747962921
"sigma",0.1812037683125,0.00078276647850701,0.0433431595128516,0.11944215,0.15020175,0.17406,0.2036565,0.2853143,3066.03207839506,1.00299432290426
