"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50"
"Stelgidopteryx.serripennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,9,6,0,0
"Hirundo.rustica",7,0,1,2,2,0,0,0,0,0,1,0,0,7,0,1,8,11,0,0,0,0,0,0,9,0,1,0,0,0,0,0,3,0,2,0,0,1,11,2,0,0,0,0,0,0,1,3,0,0
"Cyanocitta.cristata",2,3,9,1,2,3,4,4,4,1,2,3,6,3,1,1,2,2,8,9,1,1,4,4,7,5,7,5,4,4,2,6,1,4,2,7,3,1,3,5,4,0,4,2,2,3,0,2,1,1
"Corvus.brachyrhynchos",0,0,2,3,5,8,5,2,2,1,4,5,5,5,3,3,0,6,6,3,3,2,7,8,8,2,0,4,3,7,6,2,5,5,5,5,4,6,2,2,4,2,4,3,3,5,3,2,1,0
"Corvus.ossifragus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"Poecile.carolinensis",0,0,1,0,1,6,5,4,0,1,2,2,5,1,5,1,1,0,8,4,5,1,2,7,3,2,1,0,1,5,2,3,2,0,0,0,2,1,2,5,4,1,5,2,5,4,0,1,3,2
"Baeolophus.bicolor",2,2,4,3,2,6,3,3,1,0,0,3,2,0,7,1,3,0,4,7,5,7,7,6,7,7,0,4,2,4,2,3,4,2,3,4,2,0,3,6,9,2,3,5,6,4,0,1,5,1
"Sitta.pusilla",0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,2,0,0,0,2,3,0,0,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0
"Thryothorus.ludovicianus",7,1,6,1,5,3,5,3,6,1,4,3,7,6,3,5,3,1,9,5,5,3,6,9,8,9,6,10,0,5,7,4,5,2,5,4,3,0,3,6,4,3,4,2,3,3,0,3,1,0
"Polioptila.caerulea",0,0,0,0,0,1,0,0,1,0,0,1,0,3,0,0,0,1,2,0,1,2,3,0,4,0,0,3,0,1,0,1,1,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,2
"Sialia.sialis",1,3,1,0,4,0,0,1,1,0,1,0,0,0,0,0,5,0,1,4,0,0,0,2,0,0,0,0,0,0,0,1,1,4,2,7,0,3,6,0,0,0,0,0,4,5,0,1,0,0
"Hylocichla.mustelina",5,2,8,4,3,4,4,2,0,0,0,0,0,0,0,1,0,0,0,7,3,4,1,0,0,1,1,0,0,0,0,1,6,1,0,2,0,0,0,1,0,1,0,4,0,0,0,0,1,1
"Turdus.migratorius",7,10,8,6,8,7,6,1,0,0,0,0,0,0,0,10,7,0,0,6,1,1,3,0,0,2,0,0,0,0,2,0,0,1,5,2,1,1,8,0,0,1,0,0,0,8,0,1,3,0
"Dumetella.carolinensis",0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,6,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Mimus.polyglottos",8,7,8,9,10,8,8,3,0,0,3,2,0,0,2,10,11,5,1,6,3,6,2,0,0,4,0,0,0,0,6,3,2,9,7,9,0,6,9,1,0,1,0,1,8,8,0,11,8,0
"Toxostoma.rufum",1,3,1,2,3,4,0,2,0,0,1,0,1,1,1,3,1,1,1,2,2,2,2,2,3,2,1,0,0,0,2,0,0,0,1,1,0,0,6,0,1,0,1,0,3,4,3,4,9,0
